city,zone,zone_label
Tangerang,1,Seluruh Jawa
Tangerang Selatan,1,Seluruh Jawa
Jakarta Pusat,1,Seluruh Jawa
Jakarta Selatan,1,Seluruh Jawa
Jakarta Barat,1,Seluruh Jawa
Jakarta Timur,1,Seluruh Jawa
Jakarta Utara,1,Seluruh Jawa
Gambir,1,Seluruh Jawa
Kemang,1,Seluruh Jawa
Menteng,1,Seluruh Jawa
Kebayoran,1,Seluruh Jawa
Tebet,1,Seluruh Jawa
Cempaka Putih,1,Seluruh Jawa
Penjaringan,1,Seluruh Jawa
Bekasi,1,Seluruh Jawa
Depok,1,Seluruh Jawa
Bogor,1,Seluruh Jawa
Cikarang,1,Seluruh Jawa
Bandung,1,Seluruh Jawa
Sukabumi,1,Seluruh Jawa
Karawang,1,Seluruh Jawa
Cirebon,1,Seluruh Jawa
Serang,1,Seluruh Jawa
Cilegon,1,Seluruh Jawa
Semarang,1,Seluruh Jawa
Surabaya,1,Seluruh Jawa
Yogyakarta,1,Seluruh Jawa
Solo,1,Seluruh Jawa
Malang,1,Seluruh Jawa
Magelang,1,Seluruh Jawa
Kudus,1,Seluruh Jawa
Purwokerto,1,Seluruh Jawa
Tegal,1,Seluruh Jawa
Jember,1,Seluruh Jawa
Kediri,1,Seluruh Jawa
Blitar,1,Seluruh Jawa
Mojokerto,1,Seluruh Jawa
Denpasar,2,Luar Jawa
Bali,2,Luar Jawa
Kuta,2,Luar Jawa
Ubud,2,Luar Jawa
Singaraja,2,Luar Jawa
Medan,2,Luar Jawa
Palembang,2,Luar Jawa
Pekanbaru,2,Luar Jawa
Batam,2,Luar Jawa
Padang,2,Luar Jawa
Banda Aceh,2,Luar Jawa
Lampung,2,Luar Jawa
Jambi,2,Luar Jawa
Bengkulu,2,Luar Jawa
Balikpapan,2,Luar Jawa
Samarinda,2,Luar Jawa
Banjarmasin,2,Luar Jawa
Pontianak,2,Luar Jawa
Palangkaraya,2,Luar Jawa
Makassar,2,Luar Jawa
Manado,2,Luar Jawa
Palu,2,Luar Jawa
Kendari,2,Luar Jawa
Gorontalo,2,Luar Jawa
Mataram,2,Luar Jawa
NTB,2,Luar Jawa
Kupang,3,Papua / NTT / Remote
NTT,3,Papua / NTT / Remote
Jayapura,3,Papua / NTT / Remote
Papua,3,Papua / NTT / Remote
Sorong,3,Papua / NTT / Remote
Manokwari,3,Papua / NTT / Remote
Timika,3,Papua / NTT / Remote
Merauke,3,Papua / NTT / Remote
Fakfak,3,Papua / NTT / Remote
